Date,GoldPrice_Gm,AfterImportDuty,ConsumerPrice_gst,Gold916_gst,GoldPrice_Oz
1/12/2024,5475.42,6159.85,6344.65,5811.70,170304.6
1/11/2024,5418.07,6095.33,6278.19,5750.82,168520.9
1/10/2024,5411.01,6087.39,6270.01,5743.33,168301.2
1/9/2024,5437.75,6117.47,6300.99,5771.71,169132.8
1/8/2024,5406.18,6081.95,6264.41,5738.20,168150.9
1/5/2024,5495.92,6182.91,6368.40,5833.45,170942.1
1/4/2024,5455.68,6137.64,6321.77,5790.74,169690.6
1/3/2024,5468.48,6152.04,6336.60,5804.33,170088.6
1/2/2024,5531.91,6223.40,6410.10,5871.65,172061.5
1/1/2024,5558.00,6252.75,6440.33,5899.34,172873.2
12/29/2023,5558.00,6252.75,6440.33,5899.34,172873.2
12/28/2023,5558.00,6252.75,6440.33,5899.34,172873.2
12/27/2023,5540.24,6232.77,6419.75,5880.49,172320.6
12/26/2023,5463.00,6145.88,6330.26,5798.52,169918.4
12/25/2023,5463.00,6145.88,6330.26,5798.52,169918.4
12/22/2023,5463.00,6145.88,6330.26,5798.52,169918.4
12/21/2023,5463.00,6145.88,6330.26,5798.52,169918.4
12/20/2023,5440.40,6120.45,6304.06,5774.52,169215.3
12/19/2023,5452.82,6134.42,6318.45,5787.70,169601.7
12/18/2023,5406.14,6081.91,6264.37,5738.16,168149.8
12/15/2023,5424.53,6102.60,6285.68,5757.68,168721.6
12/14/2023,5478.86,6163.72,6348.63,5815.35,170411.7
12/13/2023,5312.70,5976.79,6156.09,5638.98,165243.4
12/12/2023,5308.21,5971.74,6150.89,5634.22,165103.9
12/11/2023,5325.58,5991.28,6171.02,5652.65,165643.9
12/8/2023,5387.69,6061.15,6242.98,5718.57,167576
12/7/2023,5431.18,6110.08,6293.38,5764.74,168928.7
12/6/2023,5429.22,6107.87,6291.11,5762.66,168867.6
12/5/2023,5421.71,6099.42,6282.40,5754.68,168634.1
12/4/2023,5490.97,6177.34,6362.66,5828.20,170788.3
12/1/2023,5475.56,6160.01,6344.81,5811.85,170309
11/30/2023,5457.44,6139.62,6323.81,5792.61,169745.3
11/29/2023,5484.52,6170.09,6355.19,5821.35,170587.7
11/28/2023,5428.43,6106.98,6290.19,5761.81,168843.2
11/27/2023,5392.36,6066.41,6248.40,5723.53,167721.1
11/24/2023,5357.95,6027.69,6208.52,5687.00,166650.8
11/23/2023,5335.89,6002.88,6182.97,5663.60,165964.6
11/22/2023,5350.47,6019.28,6199.86,5679.07,166418.3
11/21/2023,5372.63,6044.21,6225.54,5702.59,167107.6
11/20/2023,5275.85,5935.33,6113.39,5599.87,164097.4
11/17/2023,5302.96,5965.83,6144.80,5628.64,164940.6
11/16/2023,5297.53,5959.72,6138.51,5622.88,164771.5
11/15/2023,5236.12,5890.64,6067.36,5557.70,162861.5
11/14/2023,5268.86,5927.47,6105.29,5592.45,163879.9
11/13/2023,5167.87,5813.85,5988.27,5485.26,160738.7
11/10/2023,5199.63,5849.58,6025.07,5518.96,161726.6
11/9/2023,5241.58,5896.78,6073.68,5563.49,163031.5
11/8/2023,5242.56,5897.88,6074.82,5564.54,163061.8
11/7/2023,5246.90,5902.76,6079.84,5569.13,163196.9
11/6/2023,5309.58,5973.28,6152.48,5635.67,165146.5
11/3/2023,5327.99,5993.99,6173.81,5655.21,165718.9
11/2/2023,5310.07,5973.83,6153.04,5636.18,165161.7
11/1/2023,5318.28,5983.07,6162.56,5644.90,165417.1
10/31/2023,5346.77,6015.12,6195.57,5675.14,166303
10/30/2023,5341.96,6009.71,6190.00,5670.04,166153.4
10/27/2023,5311.16,5975.06,6154.31,5637.35,165195.4
10/26/2023,5286.88,5947.74,6126.17,5611.57,164440.5
10/25/2023,5301.75,5964.47,6143.40,5627.35,164902.9
10/24/2023,5243.30,5898.71,6075.67,5565.31,163084.9
10/23/2023,5269.19,5927.84,6105.68,5592.80,163890.2
10/20/2023,5316.82,5981.42,6160.86,5643.35,165371.6
10/19/2023,5216.21,5868.24,6044.29,5536.57,162242.3
10/18/2023,5236.53,5891.10,6067.83,5558.13,162874.2
10/17/2023,5158.75,5803.59,5977.70,5475.57,160455.2
10/16/2023,5130.64,5771.97,5945.13,5445.74,159580.6
10/13/2023,5108.84,5747.45,5919.87,5422.60,158902.7
10/12/2023,5015.88,5642.87,5812.16,5323.94,156011.4
10/11/2023,5002.18,5627.45,5796.27,5309.38,155585.3
10/10/2023,4967.21,5588.11,5755.75,5272.27,154497.4
10/9/2023,4944.06,5562.07,5728.93,5247.70,153777.6
10/6/2023,4863.39,5471.31,5635.45,5162.07,151268.4
10/5/2023,4868.62,5477.20,5641.52,5167.63,151431
10/4/2023,4866.84,5475.20,5639.46,5165.75,151375.8
10/3/2023,4876.77,5486.37,5650.96,5176.28,151684.5
10/2/2023,4897.64,5509.85,5675.15,5198.44,152333.6
9/29/2023,4997.70,5622.41,5791.08,5304.63,155445.8
9/28/2023,5007.96,5633.96,5802.98,5315.53,155765.1
9/27/2023,5050.88,5682.24,5852.71,5361.08,157100
9/26/2023,5107.53,5745.97,5918.35,5421.21,158862
9/25/2023,5143.91,5786.90,5960.51,5459.83,159993.5
9/22/2023,5141.47,5784.15,5957.67,5457.23,159917.6
9/21/2023,5118.41,5758.21,5930.96,5432.76,159200.3
9/20/2023,5178.36,5825.66,6000.43,5496.39,161064.9
9/19/2023,5176.22,5823.25,5997.95,5494.12,160998.4
